Date,Open,High,Low,Close ,Adj Close 
2015-01-23,28.08,28.44,27.88,28.25,25.05
2015-01-26,28.43,28.59,28.2,28.27,25.07
2015-01-27,28.1,28.12,27.26,27.28,24.2
2015-01-28,29.41,29.53,28.83,28.83,25.56
2015-01-29,29.08,29.8,28.89,29.73,26.36
2015-01-30,29.6,30.0,29.21,29.29,25.97
2015-02-02,29.51,29.79,29.02,29.66,26.3
2015-02-03,29.63,29.77,29.4,29.66,26.3
2015-02-04,29.63,30.13,29.58,29.89,26.51
2015-02-05,30.0,30.06,29.81,29.99,26.69
2015-02-06,30.0,30.06,29.61,29.73,26.47
2015-02-09,29.64,29.96,29.61,29.93,26.65
2015-02-10,30.04,30.54,30.04,30.5,27.16
2015-02-11,30.69,31.23,30.63,31.22,27.79
2015-02-12,31.51,31.87,31.39,31.61,28.15
2015-02-13,31.82,31.82,31.41,31.77,28.28
2015-02-17,31.87,32.22,31.73,31.96,28.45
2015-02-18,31.91,32.19,31.86,32.18,28.65
2015-02-19,32.12,32.26,32.08,32.11,28.59
2015-02-20,32.15,32.38,32.01,32.38,28.82
2015-02-23,32.51,33.25,32.42,33.25,29.6
2015-02-24,33.24,33.4,32.79,33.04,29.42
2015-02-25,32.89,32.9,32.04,32.2,28.66
2015-02-26,32.2,32.72,31.65,32.6,29.03
2015-02-27,32.5,32.64,32.06,32.12,28.59
2015-03-02,32.31,32.57,32.08,32.27,28.73
2015-03-03,32.24,32.38,32.02,32.34,28.79
2015-03-04,32.28,32.39,32.08,32.13,28.61
2015-03-05,32.15,32.19,31.44,31.6,28.13
2015-03-06,32.1,32.34,31.57,31.65,28.18
2015-03-09,31.99,32.39,31.26,31.78,28.3
2015-03-10,31.6,31.81,30.95,31.13,27.71
2015-03-11,31.19,31.19,30.53,30.56,27.21
2015-03-12,30.58,31.23,30.41,31.11,27.7
2015-03-13,31.1,31.35,30.65,30.9,27.51
2015-03-16,30.97,31.24,30.72,31.24,27.81
2015-03-17,31.48,31.83,31.41,31.76,28.27
2015-03-18,31.75,32.29,31.59,32.12,28.59
2015-03-19,32.19,32.31,31.85,31.88,28.38
2015-03-20,32.06,32.1,31.29,31.48,28.02
2015-03-23,31.78,31.96,31.63,31.8,28.31
2015-03-24,31.81,32.01,31.64,31.67,28.2
2015-03-25,31.64,31.7,30.84,30.84,27.46
2015-03-26,30.69,31.22,30.65,31.06,27.65
2015-03-27,31.14,31.17,30.73,30.81,27.43
2015-03-30,31.01,31.6,31.0,31.59,28.13
2015-03-31,31.52,31.62,31.09,31.11,27.69
2015-04-01,31.2,31.28,30.77,31.06,27.65
2015-04-02,31.26,31.39,31.05,31.33,27.89
2015-04-06,31.12,31.88,31.08,31.84,28.34
2015-04-07,31.91,32.03,31.5,31.5,28.05
2015-04-08,31.46,31.6,31.24,31.4,27.95
2015-04-09,31.46,31.65,31.17,31.64,28.17
2015-04-10,31.49,31.8,31.32,31.77,28.29
2015-04-13,32.09,32.14,31.65,31.71,28.23
2015-04-14,31.75,31.82,31.48,31.58,28.11
2015-04-15,31.6,31.78,31.5,31.69,28.22
2015-04-16,31.57,31.77,31.53,31.54,28.08
2015-04-17,31.39,31.53,31.11,31.19,27.77
2015-04-20,31.39,32.03,31.29,31.9,28.4
2015-04-21,32.03,32.05,31.67,31.73,28.25
2015-04-22,31.75,32.22,31.58,32.15,28.63
2015-04-23,32.08,32.6,32.03,32.42,28.86
2015-04-24,32.62,32.66,32.31,32.57,29.0
2015-04-27,33.08,33.28,32.79,33.16,29.52
2015-04-28,33.62,33.63,32.39,32.64,29.06
2015-04-29,32.54,32.9,32.08,32.16,28.63
2015-04-30,32.16,32.16,31.15,31.29,27.85
2015-05-01,31.52,32.53,31.33,32.24,28.7
2015-05-04,32.38,32.64,32.06,32.17,28.64
2015-05-05,32.04,32.11,31.44,31.45,28.0
2015-05-06,31.64,31.69,30.84,31.25,27.82
2015-05-07,31.19,31.52,31.0,31.32,28.0
2015-05-08,31.67,31.91,31.53,31.91,28.52
2015-05-11,31.85,31.89,31.41,31.58,28.23
2015-05-12,31.4,31.72,31.2,31.47,28.13
2015-05-13,31.54,31.8,31.47,31.5,28.16
2015-05-14,31.85,32.24,31.79,32.24,28.82
2015-05-15,32.27,32.37,32.05,32.19,28.78
2015-05-18,32.1,32.68,32.09,32.55,29.1
2015-05-19,32.67,32.72,32.41,32.52,29.07
2015-05-20,32.5,32.74,32.33,32.51,29.07
2015-05-21,32.52,32.91,32.46,32.85,29.37
2015-05-22,32.9,33.24,32.85,33.13,29.62
2015-05-26,33.15,33.23,32.28,32.4,28.97
2015-05-27,32.58,33.06,32.51,33.01,29.51
2015-05-28,32.97,32.99,32.78,32.94,29.45
2015-05-29,32.81,32.86,32.47,32.57,29.12
2015-06-01,32.57,32.85,32.51,32.63,29.18
2015-06-02,32.47,32.67,32.33,32.49,29.05
2015-06-03,32.67,32.74,32.47,32.53,29.08
2015-06-04,32.4,32.65,32.23,32.34,28.91
2015-06-05,32.38,32.42,32.09,32.16,28.75
2015-06-08,32.22,32.3,31.71,31.95,28.56
2015-06-09,31.67,32.02,31.41,31.85,28.48
2015-06-10,31.98,32.33,31.96,32.22,28.8
2015-06-11,32.29,32.54,32.12,32.15,28.74
2015-06-12,32.05,32.08,31.78,31.79,28.42
2015-06-15,31.52,31.81,31.43,31.73,28.37
2015-06-16,31.76,31.96,31.59,31.9,28.52
2015-06-17,31.93,31.97,31.68,31.83,28.45
2015-06-18,31.81,32.08,31.81,31.97,28.58
2015-06-19,31.93,31.95,31.6,31.65,28.29
2015-06-22,31.87,32.01,31.77,31.9,28.52
2015-06-23,31.87,31.9,31.72,31.76,28.39
2015-06-24,31.8,32.45,31.78,32.03,28.63
2015-06-25,32.22,32.3,31.88,31.88,28.5
2015-06-26,31.92,32.0,31.63,31.69,28.33
2015-06-29,31.36,31.62,31.12,31.13,27.83
2015-06-30,31.39,31.53,31.22,31.36,28.03
2015-07-01,31.73,31.74,31.5,31.65,28.29
2015-07-02,31.61,31.67,31.44,31.61,28.26
2015-07-06,31.24,31.56,31.21,31.5,28.16
2015-07-07,31.47,31.54,30.94,31.42,28.09
2015-07-08,31.12,31.16,30.64,30.64,27.39
2015-07-09,30.96,31.01,29.81,30.02,26.84
2015-07-10,30.49,30.96,30.3,30.82,27.55
2015-07-13,31.26,31.44,31.08,31.42,28.08
2015-07-14,31.51,31.59,31.26,31.4,28.07
2015-07-15,31.43,31.79,31.4,31.7,28.34
2015-07-16,31.93,32.14,31.84,32.13,28.72
2015-07-17,32.27,32.4,32.08,32.4,28.97
2015-07-20,32.74,33.24,32.67,33.02,29.52
2015-07-21,33.21,33.23,32.58,32.69,29.22
2015-07-22,30.5,31.38,30.5,31.31,27.99
2015-07-23,31.55,31.77,31.26,31.29,27.97
2015-07-24,31.33,31.43,30.98,31.13,27.83
2015-07-27,30.77,30.9,30.53,30.69,27.44
2015-07-28,30.84,30.98,30.64,30.84,27.57
2015-07-29,30.79,30.88,30.57,30.75,27.49
2015-07-30,30.58,30.64,30.43,30.59,27.35
2015-07-31,30.65,30.66,30.23,30.33,27.11
2015-08-03,30.38,30.64,29.38,29.61,26.47
2015-08-04,29.35,29.42,28.31,28.66,25.62
2015-08-05,28.24,29.36,28.02,28.85,25.79
2015-08-06,28.99,29.13,28.53,28.78,25.85
2015-08-07,28.65,29.06,28.63,28.88,25.94
2015-08-10,29.13,30.0,29.13,29.93,26.88
2015-08-11,29.45,29.55,28.33,28.37,25.48
2015-08-12,28.13,28.85,27.41,28.81,25.87
2015-08-13,29.01,29.1,28.64,28.79,25.85
2015-08-14,28.58,29.08,28.5,28.99,26.03
2015-08-17,29.01,29.41,28.88,29.29,26.3
2015-08-18,29.11,29.36,29.0,29.13,26.16
2015-08-19,29.02,29.13,28.67,28.75,25.82
2015-08-20,28.52,28.59,27.91,28.16,25.29
2015-08-21,27.61,27.98,26.41,26.44,23.74
2015-08-24,23.72,27.2,23.0,25.78,23.15
2015-08-25,27.78,27.78,25.88,25.93,23.29
2015-08-26,26.77,27.47,26.26,27.42,24.63
2015-08-27,28.06,28.31,27.5,28.23,25.35
2015-08-28,28.04,28.33,27.89,28.32,25.43
2015-08-31,28.01,28.63,28.0,28.19,25.32
2015-09-01,27.54,27.97,26.84,26.93,24.18
2015-09-02,27.56,28.08,27.28,28.08,25.22
2015-09-03,28.12,28.19,27.51,27.59,24.78
2015-09-04,27.24,27.61,27.13,27.32,24.53
2015-09-08,27.94,28.14,27.58,28.08,25.21
2015-09-09,28.44,28.5,27.44,27.54,24.73
2015-09-10,27.57,28.32,27.48,28.14,25.27
2015-09-11,27.95,28.55,27.94,28.55,25.64
2015-09-14,29.15,29.22,28.72,28.83,25.89
2015-09-15,28.98,29.13,28.6,29.07,26.11
2015-09-16,29.06,29.14,28.86,29.1,26.13
2015-09-17,28.92,29.12,28.43,28.48,25.58
2015-09-18,28.05,28.58,27.97,28.36,25.47
2015-09-21,28.42,28.84,28.42,28.8,25.87
2015-09-22,28.34,28.55,28.13,28.35,25.46
2015-09-23,28.41,28.68,28.33,28.58,25.67
2015-09-24,28.31,28.88,28.09,28.75,25.82
2015-09-25,29.11,29.17,28.5,28.68,25.75
2015-09-28,28.46,28.64,28.11,28.11,25.24
2015-09-29,28.21,28.38,26.97,27.26,24.48
2015-09-30,27.54,27.89,27.18,27.58,24.76
2015-10-01,27.27,27.41,26.83,27.4,24.6
2015-10-02,27.0,27.75,26.89,27.59,24.78
2015-10-05,27.47,27.84,27.27,27.69,24.87
2015-10-06,27.66,27.93,27.44,27.83,24.99
2015-10-07,27.93,27.94,27.35,27.69,24.87
2015-10-08,27.55,27.55,27.05,27.38,24.58
2015-10-09,27.5,28.07,27.37,28.03,25.17
2015-10-12,28.18,28.19,27.86,27.9,25.06
2015-10-13,27.7,28.11,27.67,27.95,25.1
2015-10-14,27.82,27.88,27.39,27.55,24.74
2015-10-15,27.73,28.02,27.62,27.97,25.11
2015-10-16,27.94,28.0,27.63,27.76,24.93
2015-10-19,27.7,27.94,27.53,27.93,25.08
2015-10-20,27.83,28.54,27.7,28.44,25.54
2015-10-21,28.5,28.9,28.42,28.44,25.54
2015-10-22,28.58,28.88,28.52,28.88,25.93
2015-10-23,29.17,29.81,29.08,29.77,26.73
2015-10-26,29.52,29.53,28.73,28.82,25.88
2015-10-27,28.85,29.14,28.5,28.64,25.72
2015-10-28,29.23,29.83,29.01,29.82,26.78
2015-10-29,29.67,30.17,29.57,30.13,27.06
2015-10-30,30.25,30.31,29.86,29.88,26.83
2015-11-02,30.2,30.34,29.9,30.3,27.21
2015-11-03,30.2,30.87,30.17,30.64,27.52
2015-11-04,30.78,30.95,30.41,30.5,27.39
2015-11-05,30.46,30.67,30.05,30.23,27.26
2015-11-06,30.28,30.45,30.16,30.26,27.3
2015-11-09,30.24,30.45,30.01,30.14,27.18
2015-11-10,29.23,29.52,29.01,29.19,26.33
2015-11-11,29.09,29.35,28.8,29.03,26.18
2015-11-12,29.07,29.2,28.91,28.93,26.09
2015-11-13,28.8,28.89,28.07,28.08,25.33
2015-11-16,27.84,28.56,27.75,28.55,25.74
2015-11-17,28.73,28.76,28.33,28.42,25.63
2015-11-18,28.94,29.37,28.88,29.32,26.45
